"ts","profile","model","ctx","prompt_tok","gen_tok","load_s","ttft_s","prefill_tok_s","gen_tok_s","vram3090_max_mib","vram3060_max_mib","gpu_util_max_pct","status"
"2026-08-26 23:51:07","KIBORG-LONG","Qwen3.8-27B-Q4_K_M.gguf","131072","32271","128","20,6","32,97","984,3","23,6","18372","4142","99","OK"
"2026-08-26 23:52:10","KIBORG-LONG","Qwen3.8-27B-Q4_K_M.gguf","262144","64544","128","19,7","83,98","771,6","19,4","21201","5198","99","OK"
"2026-08-26 23:54:31","KIBORG-FAST","Qwen3.8-27B-Q4_K_M.gguf","131072","32271","128","20,7","36,25","894,6","25,1","23590","94","99","OK"
"2026-08-26 23:55:48","BENCH-LONG-Q8","Qwen3.8-27B-Q4_K_M.gguf","262144","64544","128","22,2","93,27","694,4","17,4","24194","5710","100","OK"
